station,valid,alti,Date,Time,interval,baropressure_inHg,baropressure_kPa,equivalent_ft,equivalent_m
SBA,2025-11-30T23:30:00Z,30,2025-11-30,23:30:00,30,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T23:40:00Z,30,2025-11-30,23:40:00,40,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-11-30T23:50:00Z,30,2025-11-30,23:50:00,50,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T00:00:00Z,30,2025-12-01,00:00:00,00,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T00:10:00Z,30,2025-12-01,00:10:00,10,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T00:20:00Z,30.01,2025-12-01,00:20:00,20,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T00:30:00Z,30.01,2025-12-01,00:30:00,30,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T00:40:00Z,30,2025-12-01,00:40:00,40,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T00:50:00Z,30,2025-12-01,00:50:00,50,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T01:00:00Z,30,2025-12-01,01:00:00,00,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T01:10:00Z,30,2025-12-01,01:10:00,10,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T01:20:00Z,30,2025-12-01,01:20:00,20,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T01:30:00Z,30.01,2025-12-01,01:30:00,30,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T01:40:00Z,30.01,2025-12-01,01:40:00,40,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T01:50:00Z,30.01,2025-12-01,01:50:00,50,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T02:00:00Z,30.01,2025-12-01,02:00:00,00,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T02:10:00Z,30.01,2025-12-01,02:10:00,10,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T02:20:00Z,30.01,2025-12-01,02:20:00,20,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T02:30:00Z,30,2025-12-01,02:30:00,30,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T02:40:00Z,30,2025-12-01,02:40:00,40,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T02:50:00Z,30,2025-12-01,02:50:00,50,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T03:00:00Z,30,2025-12-01,03:00:00,00,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T03:10:00Z,30,2025-12-01,03:10:00,10,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T03:20:00Z,30,2025-12-01,03:20:00,20,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T03:30:00Z,29.99,2025-12-01,03:30:00,30,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-12-01T03:40:00Z,29.99,2025-12-01,03:40:00,40,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-12-01T03:50:00Z,29.99,2025-12-01,03:50:00,50,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-12-01T04:00:00Z,29.99,2025-12-01,04:00:00,00,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-12-01T04:10:00Z,29.99,2025-12-01,04:10:00,10,29.98593899165337,101.54405395600608,33.9718678831437,10.354650270001851
SBA,2025-12-01T04:20:00Z,30,2025-12-01,04:20:00,20,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T04:30:00Z,30,2025-12-01,04:30:00,30,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T04:40:00Z,30,2025-12-01,04:40:00,40,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T04:50:00Z,30,2025-12-01,04:50:00,50,29.99593763753255,101.57791326042623,33.983195615015376,10.358102970992183
SBA,2025-12-01T05:00:00Z,30.01,2025-12-01,05:00:00,00,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T05:10:00Z,30.01,2025-12-01,05:10:00,10,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T05:20:00Z,30.01,2025-12-01,05:20:00,20,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T05:30:00Z,30.01,2025-12-01,05:30:00,30,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T05:40:00Z,30.01,2025-12-01,05:40:00,40,30.005936283411728,101.61177256484638,33.99452334688705,10.361555671982513
SBA,2025-12-01T05:50:00Z,30.02,2025-12-01,05:50:00,50,30.015934929290903,101.64563186926651,34.00585107875872,10.365008372972843
SBA,2025-12-01T06:00:00Z,30.02,2025-12-01,06:00:00,00,30.015934929290903,101.64563186926651,34.00585107875872,10.365008372972843
SBA,2025-12-01T06:10:00Z,30.02,2025-12-01,06:10:00,10,30.015934929290903,101.64563186926651,34.00585107875872,10.365008372972843
SBA,2025-12-01T06:20:00Z,30.02,2025-12-01,06:20:00,20,30.015934929290903,101.64563186926651,34.00585107875872,10.365008372972843
SBA,2025-12-01T06:30:00Z,30.02,2025-12-01,06:30:00,30,30.015934929290903,101.64563186926651,34.00585107875872,10.365008372972843
